date,timestamp,ticker,action,price,tag,raw_snippet,msg_id
2025-10-02,2025-10-02T10:34:52.184-04:00,INOD,TRIM,,,"$INOD 100% gain achieved, make it free fam",1423317316388524063
2025-10-06,2025-10-06T12:58:38.27-04:00,IREN,OPEN,60.0,,$IREN is just 3 handles shy of a double. Will be official at 60,1424803048277938207
2025-10-07,2025-10-07T09:21:23.134-04:00,NB,OPEN,8.83,,$NB @ $8.83,1425110762820468746
2025-10-08,2025-10-08T12:20:31.324-04:00,RXRX,OPEN,6.0,,Buying $RXRX @ $6,1425518231862509699
2025-10-13,2025-10-13T12:04:04.773-04:00,INOD,CLOSE,83.0,,i’m selling the remaining $INOD commons @ 83.,1427326033295573074
2025-10-17,2025-10-17T10:27:37.083-04:00,RGTI,CLOSE,45.0,,Closing out the remaining $RGTI position @ 45 to lock in the over 100% gain on commons.,1428751309426921492
2025-10-17,2025-10-17T13:18:48.835-04:00,SEI,ADD,50.0,,Adding solar name $SEI @ 50 to the commons port,1428794392277155941
2025-10-21,2025-10-21T15:10:03.001-04:00,KRKNF,OPEN,5.0,,$KRKNF @ $5,1430271937220968541
2025-11-10,2025-11-10T14:19:14.823-05:00,NB,OPEN,6.36,,"Selling $NB at 6.36 for a loss,",1437522009042059305
2025-11-10,2025-11-10T14:19:14.823-05:00,MP,OPEN,64.88,,Replacing it with $MP at 64.88 but half sized.,1437522009042059305
2026-02-02,2026-02-02T11:51:48.469-05:00,RXRX,CLOSE,4.18,,Dropping $RXRX from the commons port @ $4.18 and adding the other half of $MP @ 60.60,1467925485454626909
2026-02-02,2026-02-02T11:51:48.469-05:00,MP,CLOSE,60.6,,Dropping $RXRX from the commons port @ $4.18 and adding the other half of $MP @ 60.60,1467925485454626909
2026-02-02,2026-02-02T11:54:40.5-05:00,LDI,CLOSE,2.3,,Closing $LDI @ $2.3,1467926207004938423
2026-02-02,2026-02-02T11:57:34.826-05:00,SNDK,ADD,667.0,,Adding $SNDK half sized @ 667,1467926938181046317
2026-03-02,2026-03-02T13:16:14.026-05:00,AXTI,TRIM,44.75,,$AXTI @ 44.75 to commons port and selling half of the $BBAI @ $4 that was previously 2x weighting.,1478093592177283254
2026-03-02,2026-03-02T13:16:14.026-05:00,BBAI,TRIM,4.0,,$AXTI @ 44.75 to commons port and selling half of the $BBAI @ $4 that was previously 2x weighting.,1478093592177283254
2026-03-10,2026-03-10T12:02:12.266-04:00,AMPX,TRIM,15.0,,"$AMPX UP 77%, SELLING HALF HERE WITH STOP AT 15 ON REMAINDER",1480958965516079104
2026-04-27,2026-04-27T12:18:39.062-04:00,INFQ,OPEN,13.0,,$INFQ @ $13 to commons port.,1498357721987022968
2026-05-01,2026-05-01T18:34:52.993-04:00,AXTI,TRIM,98.6,,$AXTI selling half of our position @ 98.60 for 120%,1499901955378516139
2026-05-13,2026-05-13T11:26:32.349-04:00,NVTS,TRIM,20.87,,"$NVTS 1/2 sold for @ 20.87 to lock in the 100% gain, standard practice.",1504142813451780137
2026-05-13,2026-05-13T11:39:01.216-04:00,LITE,ADD,,,"adding $LITE if we dip below 1K again, we should see this double again before the year is up",1504145954427895918
2026-05-14,2026-05-14T13:00:42.856-04:00,LITE,ADD,,,$LITE added to commons port.,1504528901261492315
2026-05-18,2026-05-18T18:49:03.882-04:00,TE,ADD,7.4,,Adding $TE @ 7.40,1506066117981110313
2026-05-18,2026-05-18T18:49:03.882-04:00,LITE,TRIM,886.0,,reducing $LITE by 50% @ 886 ( plan to add back if 800 trades),1506066117981110313
2026-05-21,2026-05-21T18:38:56.076-04:00,AMPX,STOP,15.0,,$AMPX stopped @ $15 on remaining half of the original position from $10.33.,1507150732254777384
