date,timestamp,ticker,action,price,raw_snippet,msg_id
2024-10-13,2024-10-13T23:37:49.139-04:00,IWM,CLOSE,,$GS closed the week at a new all time closing high mirroring what could be a possible rotation into $IWM.,1295229047596515439
2024-10-13,2024-10-13T23:37:49.139-04:00,GS,CLOSE,,$GS does report earnings on Tuesday before the bell at which point technicals become somewhat meaningless in the short term so my plan is to exit the weekly calls by the close of Monday trading.,1295229047596515439
2024-12-12,2024-12-12T03:43:50.732-05:00,LRCX,OPEN,2.4,$LRCX 2/21/25 90C @ 2.4,1316686945769885737
2024-12-30,2024-12-30T03:38:25.36-05:00,NVDA,ADD,,* all of these are ok to add for commons but for best entry with options trading will require some patience so stay tuned because there's lots to do here. I wanted to give you an idea of where my head,1323208562641604638
2024-12-30,2024-12-30T03:38:25.36-05:00,TSLA,ADD,,* all of these are ok to add for commons but for best entry with options trading will require some patience so stay tuned because there's lots to do here. I wanted to give you an idea of where my head,1323208562641604638
2025-02-24,2025-02-24T04:35:40.043-05:00,EWZ,OPEN,2.4,$EWZ 16JAN 2026 @ 2.40,1343516689219715107
2025-02-24,2025-02-24T04:35:40.043-05:00,EWZ,ADD,,As an added bonus if looking for yield $EWZ has a very attractive divi.,1343516689219715107
2025-03-17,2025-03-17T12:37:36.207-04:00,BIDU,OPEN,3.5,$BIDU 17APR 100c out @ 3.5,1351233018085376162
2025-08-06,2025-08-06T14:04:16.499-04:00,INOD,ADD,43.0,$INOD commons added to long term portfolio at 43 cost basis,1402713906606112950
2025-08-28,2025-08-28T12:24:38.246-04:00,SATS,ADD,,$SATS to be added to buy and hold account for larger portfolio growth.,1410661365038710806
2025-09-09,2025-09-09T14:34:30.217-04:00,SOFI,ADD,25.9,Adding $SOFI to our commons here at 25.90 before I forget again.,1415042701321306283
2025-09-09,2025-09-09T14:34:30.217-04:00,IREN,OPEN,30.0,$IREN at 30 as well,1415042701321306283
2025-09-09,2025-09-09T14:56:35.495-04:00,LDI,OPEN,3.22,$LDI commons at 3.22,1415048259939864760
2025-09-15,2025-09-15T16:23:10.11-04:00,BBAI,ADD,5.11,"Adding $BBAI commons at $5.11,",1417244374928199820
2025-09-17,2025-09-17T11:05:03.252-04:00,INOD,CLOSE,83.0,$INOD - 43  (100% gain achieved) (remaining half of position closed at 83),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,SOFI,OPEN,25.9,$SOFI - 25.90,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,LDI,CLOSE,2.3,$LDI - 3.22 ( closing @ 2.3 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,IREN,TRIM,30.0,$IREN - 30 (100% gain achieved),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RGTI,CLOSE,40.0,$RGTI - 19 (100% gain achieved) (full position closed out at 40 and 45),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,BBAI,CLOSE,4.07,"$BBAI - 5.11 (2x weighting) (1/2 position closed @ 4.07, back to equal weight)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RZLV,CLOSE,5.36,$RZLV - $7.12 ( closing position @ $5.36 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NB,CLOSE,6.36,$NB - $8.83 ( closing @ $6.36 - replacing with $MP ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,MP,CLOSE,6.36,$NB - $8.83 ( closing @ $6.36 - replacing with $MP ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AMPX,CLOSE,10.33,"$AMPX - $10.33 (closing 1/2 @ 10.33 for 77%, stop @ 15 for remaining position) (stop was hit. Adding back @ $15.44)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,INTC,CLOSE,82.55,$INTC - $33.55 (closing 1/2 @ $82.55 +150%),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RXRX,CLOSE,4.18,$RXRX - $6 ( closing @ $4.18 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NVTS,CLOSE,20.87,$NVTS - $9.98 ( closing 1/2 $NVTS @ 20.87 for just over 100% ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NVTS,CLOSE,20.87,$NVTS - $9.98 ( closing 1/2 $NVTS @ 20.87 for just over 100% ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,PATH,OPEN,16.75,$PATH - $16.75,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,SEI,OPEN,50.0,$SEI - 50,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,MP,ADD,64.76,$MP - 64.76 (half sized- will add other half if 65 is held or on a pullback to 57) (position now full sized),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,SNDK,OPEN,667.0,$SNDK - $667,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AXTI,TRIM,98.6,$AXTI - $44.75 (1/2 out @ 98.60 for 120%),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,INFQ,OPEN,13.0,$INFQ - $13 (S/L: 12),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,TE,OPEN,7.4,$TE - $7.40,1417889094574407912
2025-09-17,2025-09-17T15:54:59.082-04:00,AMPX,OPEN,10.33,$AMPX @ $10.33,1417962057973760122
2025-10-02,2025-10-02T10:34:52.184-04:00,INOD,TRIM,,"$INOD 100% gain achieved, make it free fam",1423317316388524063
2025-10-07,2025-10-07T09:21:23.134-04:00,NB,OPEN,8.83,$NB @ $8.83,1425110762820468746
2025-10-13,2025-10-13T12:04:04.773-04:00,INOD,CLOSE,83.0,i’m selling the remaining $INOD commons @ 83.,1427326033295573074
2025-10-17,2025-10-17T10:27:37.083-04:00,RGTI,CLOSE,45.0,Closing out the remaining $RGTI position @ 45 to lock in the over 100% gain on commons.,1428751309426921492
2025-10-17,2025-10-17T13:18:48.835-04:00,SEI,ADD,50.0,Adding solar name $SEI @ 50 to the commons port,1428794392277155941
2026-02-02,2026-02-02T11:51:48.469-05:00,RXRX,CLOSE,4.18,Dropping $RXRX from the commons port @ $4.18 and adding the other half of $MP @ 60.60,1467925485454626909
2026-02-02,2026-02-02T11:51:48.469-05:00,MP,CLOSE,60.6,Dropping $RXRX from the commons port @ $4.18 and adding the other half of $MP @ 60.60,1467925485454626909
2026-03-02,2026-03-02T13:16:14.026-05:00,AXTI,TRIM,44.75,$AXTI @ 44.75 to commons port and selling half of the $BBAI @ $4 that was previously 2x weighting.,1478093592177283254
2026-03-02,2026-03-02T13:16:14.026-05:00,BBAI,TRIM,4.0,$AXTI @ 44.75 to commons port and selling half of the $BBAI @ $4 that was previously 2x weighting.,1478093592177283254
2026-03-10,2026-03-10T12:02:12.266-04:00,AMPX,TRIM,15.0,"$AMPX UP 77%, SELLING HALF HERE WITH STOP AT 15 ON REMAINDER",1480958965516079104
2026-04-27,2026-04-27T12:18:39.062-04:00,INFQ,OPEN,13.0,$INFQ @ $13 to commons port.,1498357721987022968
2026-05-01,2026-05-01T18:34:52.993-04:00,AXTI,TRIM,98.6,$AXTI selling half of our position @ 98.60 for 120%,1499901955378516139
2026-05-13,2026-05-13T11:26:32.349-04:00,NVTS,TRIM,20.87,"$NVTS 1/2 sold for @ 20.87 to lock in the 100% gain, standard practice.",1504142813451780137
2026-05-13,2026-05-13T11:39:01.216-04:00,LITE,ADD,,"adding $LITE if we dip below 1K again, we should see this double again before the year is up",1504145954427895918
2026-05-14,2026-05-14T13:00:42.856-04:00,LITE,ADD,,$LITE added to commons port.,1504528901261492315
2026-05-18,2026-05-18T18:49:03.882-04:00,LITE,TRIM,886.0,reducing $LITE by 50% @ 886 ( plan to add back if 800 trades),1506066117981110313
2026-05-21,2026-05-21T18:38:56.076-04:00,AMPX,STOP,15.0,$AMPX stopped @ $15 on remaining half of the original position from $10.33.,1507150732254777384
