fl0w_post,fl0w_datetime,ticker,strike,expiration,option_type,premium_fl0w,verdict,db_rows,db_ticker_rows_in_window,matched_conviction,matched_sentiment,matched_notional,matched_is_sweep,matched_signal,note
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,NPWR,5,2027-01-15,call,682000,OUT-OF-UNIVERSE,0,0,,,,,,OI-confirmed summary
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,SSRM,40,2027-01-15,call,482000,OUT-OF-UNIVERSE,0,0,,,,,,OI-confirmed summary
/FL0WG0D/status/2054555242478371326,2026-05-12_intraday,VNET,,,call,272000,OUT-OF-UNIVERSE,0,0,,,,,,
/FL0WG0D/status/2054_NOK_avgo_5_12,2026-05-12T??:??:??Z,AVGO,447.5,2026-05-15,call,718500,OUT-OF-CHAIN,0,541,,,,,,AVGO 447.5C 5/15 $718.5K Weekly seen in chart screenshot from 5/11 16:55 UTC scroll
/FL0WG0D/status/2054_MU_1570_5_12,2026-05-12T18:30:00Z,MU,1570,2026-08-21,call,1100000,CAUGHT,19,2919,MEDIUM,BULLISH,1197800.0,0,MAGNET UP,$1.1M into MU 1570C 100% OTM 8/21 exp â€” visible in scroll screenshot from 5/12
/FL0WG0D/status/2054_FCEL_5_12_aggregate,2026-05-12T17:30:00Z,FCEL,19,2026-06-26,call,2600000,MISSED-NO-TICKER,0,0,,,,,,$2.6M aggregate FCEL 19C 6/26 from 5/12 13:30 UTC fill
/FL0WG0D/status/2054_AA_5_12,2026-05-12T19:00:00Z,AA,70,2026-06-18,call,2200000,OUT-OF-CHAIN,0,12,,,,,,AA 70C 6/18 $2.2M from 5/12 â€” first leg of the $2.8M summary
/FL0WG0D/status/2054_STX_5_12,2026-05-12T??:??:??Z,STX,,,call,982000,MISSED-NO-TICKER,0,0,,,,,,STX $982K call from 5/12
/FL0WG0D/status/2054_QURE_5_12,2026-05-12T16:40:00Z,QURE,31,2026-05-15,call,104800,OUT-OF-UNIVERSE,0,0,,,,,,QURE 31C 5/15 Weekly bull
/FL0WG0D/status/2054_SSRM_5_12,2026-05-12T??:??:??Z,SSRM,,,call,480000,OUT-OF-UNIVERSE,0,0,,,,,,SSRM $480K Call buyer from 5/12
/screenshot_5_12_3_47pm,2026-05-12T19:47:00Z,MU,760,2026-05-15,call,789800,CAUGHT,11,1426,HIGH,BULLISH,16226640.0,0,MAGNET UP,From user-provided 5/12 screenshots in conversation. SWEEP.
/screenshot_5_12_3_47pm_b,2026-05-12T19:47:00Z,MU,1020,2026-09-18,call,5700000,WRONG-SIDE,2,1426,MEDIUM,NEUTRAL,6746125.0,0,MAGNET UP,From user-provided 5/12 screenshots. SWEEP.
/screenshot_5_12_3_47pm_c,2026-05-12T19:47:00Z,MU,1030,2026-09-18,call,2500000,OUT-OF-CHAIN,0,1426,,,,,,From user-provided 5/12 screenshots. SWEEP.
/screenshot_5_12_3_54pm_slv,2026-05-12T19:54:00Z,SLV,79,2026-05-22,call,1500000,CAUGHT,3,134,HIGH,BULLISH,1914255.0,0,MAGNET UP,From user-provided 5/12 screenshots.
/screenshot_5_12_qcom,2026-05-12T19:47:00Z,QCOM,270,2026-06-18,call,3900000,WRONG-SIDE,11,232,MEDIUM,NEUTRAL,2441220.0,0,MAGNET UP,From user-provided 5/12 screenshots.
